DOC_ID,Author
651,"['abdel hamid', ' a. a. el-jak', ' i. e. faragalla', ' i. a.']"
652,"['abdel hamid', ' a. a. harith', ' a. e. abdel rahim', ' i. m.']"
653,"['abdel hamid', ' a. a. hassan', ' m. e. abdalla', ' k. m. el basha', ' a. ahmed', ' b. o. mohammedani', ' a. a.']"
654,"['abdel hamid', ' e. awad', ' a. gismallah', ' a.']"
655,"['abdel hamid', ' m. m. ahmed', ' s. salah', ' a. tyrab', ' e. m. yahia', ' l. m. elbashir', ' e. a. musa', ' h. h.']"
656,"['abdel hamid', ' m. m. eljack', ' i. a. osman', ' m. k. elaagip', ' a. h. muneer', ' m. s.']"
657,"['abdel kareim', ' e. h.']"
659,"['abdel khalig', ' t. ali', ' b. h.']"
660,"['abdel mageed', ' m. a. m.']"
661,"['abdel magid', ' a. a.']"
662,"['abdel malek', ' e.']"
663,"['abdel malek ', ' e.']"
664,"['abdel malek', ' m. f. humar', ' a. stickel', ' f. andreone', ' p. pascher', ' a. barroso', ' e. neff', ' g. w. ranjan', ' d. toselli', ' l. t. gane', ' e. j. scarola', ' j. alberts', ' r. g. maller', ' e. s. lo', ' c. m.']"
665,"['abdel montalab', ' f. y. fadl', ' e. i. abushama', ' h. kreskowski', ' k. liehr', ' t.']"
666,"['abdel nabi', ' o.']"
667,"['abdel nabi', ' o. m. reisinger', ' e. c. reinthaler', ' f. f. still', ' f. eibel', ' u. krejs', ' g. j.']"
668,"['abdel nur suliman', ' t. e. abdoun', ' a. m. el tayeb', ' m.']"
669,"['abdel rahim', ' a. a. ahmed', ' m. e. hassan', ' m. a.']"
670,"['abdel rahim', ' a. h. abdel nour', ' aam']"
671,"['abdel rahim', ' a. i. hagir', ' bs tageldin', ' m. h. shommein', ' a. m.']"
673,"['abdel rahim', ' a. i. shommein', ' a. m. suliman', ' h. b. shaddad', ' s. a.']"
674,"['abdel rahim', ' a. m. a. l. jalil', ' z. mohammed', ' fs']"
675,"['abdel rahim', ' a. m. osman', ' n. a. idris', ' m. o.']"
676,"['abdel rahim', ' e. a. el saadany', ' s. s. wasif', ' m. m.']"
677,"['abdel rahim', ' e. a. el saadany', ' s. s. wasif', ' m. m.']"
678,"['abdel rahim', ' fath al alim']"
679,"['abdel rahim', ' fath al alim', ' al-subaie', ' a.']"
680,"['abdel rahim', ' fath al alim a. el-assra']"
681,"['abdel rahim', ' fath al alim al-subaie', ' a.']"
682,"['abdel rahim', ' i. i. adam', ' i. elghazali', ' g. gustafsson', ' l. l. elbashir', ' m. i. mirghani', ' r. a.']"
683,"['abdel rahim', ' i. i. adam', ' g. k. mohmmed', ' a. a. salih', ' m. m. ali', ' n. i. elbashier', ' m. i. adam', ' i.']"
684,"['abdel rahim', ' i. i. mahgoub', ' h. m. mohamed', ' a. a. ali', ' ni elbashir', ' m. i. adam', ' i.']"
686,"['abdel rahim', ' i. m.']"
687,"['abdel rahim', ' i. m. abdeen', ' a. z. faki', ' b. a. mustafa', ' a. e. nalder', ' s.']"
688,"['abdel rahim', ' i. m. ali', ' q. m. kardorff', ' r. franke', ' d. kaiser', ' c. ehrich', ' j. h. doehring-schwerdtfeger', ' e.']"
690,"['abdel rahim', ' i. m. elsaid', ' m. m. ali', ' m.', ' m.']"
692,"['abdel rahim', ' i. m. elkaki', ' b. a. ali', ' m. m. elsayd', ' a. h. nalder', ' s. gorosh', ' m.']"
693,"['abdel rahim', ' i. m. haridi', ' a. a. abdel-hameed', ' a. a.']"
694,"['abdel rahim', ' i. m. haridi', ' a. a. abdel-hameed', ' a. a.']"
695,"['abdel rahim', ' i. m. kaiser', ' c. homeida', ' m. elsheikh', ' m. schmidt', ' e. ehrich', ' j. h. doehring-schwerdfeger', ' e.']"
697,"['abdel rahim', ' i. m. nalder', ' s. el faki', ' b. a. ghorashi', ' g. s. bower', ' b.']"
698,"['abdel rahim', ' mudathir.']"
699,"['abdel rahim', ' m. ali el', ' t. hussien', ' r. zijlstra', ' e.']"
700,"['abdel rahim', ' m. ali el', ' t. osman', ' r. ellidir', ' r. bushara', ' a. hussein', ' r. elgailany', ' s. bakhit', ' y. karrar', ' m. watson', ' a. abu-aisha', ' h.']"
701,"['abdel rahim', ' m. b. ali el', ' t. m. mohamed', ' r. m. hassan', ' e. g. abdalla', ' o. a. mekki', ' s. o. yousif', ' b. m. watson', ' a. r.']"
702,"['abdel rahim', ' m. b. elbushra', ' m. ali el', ' t. ellidir', ' r. a. bushara', ' a. i. abdel rahim', ' w. b. zijlstra', ' e. e.']"
703,"['abdel rahim', ' m. b. el-tigani', ' m. a. hassan', ' e. g. ali', ' m. a. mohamed', ' i. a. nazik', ' a. e.']"
704,"['abdel rahim', ' m. h. albsheer', ' m. m. mohamed', ' h. s. amin', ' m. abdel hamid', ' m. m.']"
706,"['abdel rahim', ' m. s.']"
